,Estimate#,Converted#,CompanyName,PriceTotal,DateCreated,DateConverted,DateLost,DateVoided
724,7762,176784,WeWork,702.45,1/17/2019 10:20,1/18/2019 15:43,,
725,7763,178463,Cams Trident,1169,1/17/2019 10:36,1/24/2019 12:52,,
726,7764,,Sign Factory,24027.5,1/17/2019 10:47,,4/19/2019 13:48,
727,7765,176611,DAI General Contracting,57,1/17/2019 10:48,1/18/2019 11:20,,
728,7766,177559,"Foss Swim Schools, LLC",77.97,1/17/2019 11:16,1/22/2019 12:55,,
755,7767,185484,Katerra,1757,1/17/2019 11:19,2/14/2019 14:12,,
756,7768,176705,Makino,62,1/17/2019 11:20,1/18/2019 13:28,,
757,7769,,Verizon,1512.5,1/17/2019 11:22,,3/4/2019 8:15,
758,7770,176341,G&G Equipment Specialists,47.5,1/17/2019 11:31,1/17/2019 14:52,,
759,7771,177971,Groove,512.5,1/17/2019 12:00,1/23/2019 11:40,,
760,7772,176411,Wilson Delang Construction Group,134.5,1/17/2019 12:01,1/17/2019 16:33,,
761,7773,176697,Pennmark Management,28.25,1/17/2019 12:13,1/18/2019 13:15,,
762,7774,176575,"KRK Petroleum Engineering Solutions, LLC",65.5,1/17/2019 12:15,1/18/2019 10:41,,
763,7775,179013,TRANSCONTINENTAL ENGINEERED PRODUCTS LTD (TEP),3588.05,1/17/2019 12:15,1/25/2019 15:08,,
764,7776,,Elkaim Property Group,423.9,1/17/2019 12:39,,1/31/2019 14:26,
765,7777,176958,"Penn Waste, Inc.",78.97,1/17/2019 12:54,1/21/2019 9:56,,
766,7778,178953,"EMSL Analytical, Inc.",28.8,1/17/2019 12:59,1/25/2019 13:48,,
767,7779,177076,ferguson enterprises inc,143,1/17/2019 13:01,1/21/2019 11:44,,
768,7780,178611,Roche Grain,733.76,1/17/2019 13:20,1/24/2019 15:50,,
769,7781,177462,Kimberly-Clark Corporation,448.5,1/17/2019 13:42,1/22/2019 10:24,,
770,7782,177198,Arrow International,19.44,1/17/2019 13:49,1/21/2019 13:53,,
771,7783,176595,"New Group, LLC",90.5,1/17/2019 14:09,1/18/2019 11:02,,
772,7784,,NSA MECHANICSBURG,1538.6,1/17/2019 14:30,,2/21/2019 10:10,
773,7785,176359,Michigan State Police/EMHSD,30.5,1/17/2019 14:34,1/17/2019 15:19,,
774,7786,179278,Brayman Precast LLC,1073.25,1/17/2019 14:35,1/28/2019 11:44,,
775,7787,,Tohono Oodham KI:KI Association,59.5,1/17/2019 15:14,,1/24/2019 14:51,
776,7788,176695,MPI - Miller Plumbing Inc.,39,1/17/2019 15:22,1/18/2019 13:12,,
777,7789,,City of East Orange,145.55,1/18/2019 8:33,,4/12/2019 13:19,
778,7790,,1025 Cowart Rd LLC,98.5,1/18/2019 8:56,,4/12/2019 13:19,
779,7791,177696,Smith Gardens,622.5,1/18/2019 9:07,1/22/2019 15:25,,
910,7792,177285,"Trinity Industries, Inc.",138.5,1/18/2019 10:44,1/21/2019 15:35,,
911,7793,180937,FASTSIGNS of Kankakee,64.5,1/18/2019 10:49,1/31/2019 17:02,,
912,7794,177551,DAI General Contracting,157,1/18/2019 11:30,1/22/2019 12:42,,
913,7795,,Bynum Mill & Industrial,118.5,1/18/2019 11:55,,1/31/2019 13:59,
914,7796,182263,"Cinemark Holdings, Inc.",1105,1/18/2019 11:58,2/5/2019 14:17,,
915,7797,,REWORK,324,1/18/2019 12:01,,,1/18/2019 12:01
916,7798,178573,Northlands Job Corps Center,109.5,1/18/2019 12:45,1/24/2019 15:01,,
917,7799,,"SA Recycling, LLC",2924.5,1/18/2019 12:46,,1/29/2019 11:29,
918,7800,177137,Nucor Steel Louisiana LLC,1423.65,1/18/2019 13:09,1/21/2019 12:59,,
919,7801,179893,CPS,46.5,1/18/2019 13:19,1/29/2019 12:09,,
920,7802,176967,BASF.,164.5,1/18/2019 13:34,1/21/2019 10:05,,
921,7803,177440,"E Light Electric Services, Inc.",753.95,1/18/2019 13:39,1/22/2019 10:01,,
922,7804,177439,"E Light Electric Services, Inc.",849.45,1/18/2019 13:41,1/22/2019 10:01,,
923,7805,180062,"Mayco International, LLC",1539.65,1/18/2019 14:21,1/29/2019 15:28,,
